Mean,Variance,Standard Deviation,Entropy,Skewness,Kurtosis,Correlation,Class
6.535339355,619.5878446,24.89152154,0.109059009,4.276477026,18.90057479,0.981938697,0
8.749969482,805.957634,28.38939298,0.266538307,3.718115626,14.46461754,0.988834396,0
7.341094971,1143.808219,33.82023387,0.001466811,5.061750412,26.47956316,0.978013693,1
5.958145142,959.7119849,30.9792186,0.001477124,5.677977409,33.42884534,0.964189183,1
7.315231323,729.540579,27.01000887,0.146760596,4.283220908,19.07910829,0.972788726,0
7.524108887,607.3952578,24.64539019,0.214085626,3.729886121,14.47173605,0.976484963,0
12.30441284,922.7461377,30.37673679,0.128833099,2.930094733,8.969347633,0.974745237,0
15.92947388,1069.950248,32.71009397,0.10765759,2.484002192,6.515889464,0.976774223,0
19.9216156,1166.120922,34.14851274,0.094975457,2.129173011,4.905844176,0.974310317,0
8.476196289,1095.785127,33.10264532,0.003001891,4.364999923,19.68251366,0.9678297,1
9.804611206,1114.829653,33.38906487,0.002436209,3.872727695,15.55286163,0.968749847,1
12.32678223,1150.677144,33.92163239,0.003768576,3.623977732,14.7622699,0.958601277,1
10.19346619,813.9243634,28.52935967,0.009774475,3.359134668,12.18166951,0.946884139,1
7.156311035,413.4382213,20.3331803,0.081825463,3.179781353,10.28734659,0.938238115,0
5.291473389,430.9637656,20.7596668,0.354116233,4.369184389,19.63192044,0.987914479,0
12.77394104,988.4031722,31.43887995,0.002234181,3.195462275,11.10187886,0.974600383,1
15.31752014,1076.878002,32.81581938,0.004807546,2.8348342,8.814871887,0.959732931,1
6.24671936,459.398171,21.43357579,0.121085179,3.805883482,14.76742672,0.972072472,0
5.450424194,337.8792909,18.38149316,0.112746338,3.76510753,14.52813236,0.973650519,0
8.333740234,475.7823571,21.81243584,0.204901688,3.078875174,9.949499192,0.972399837,0
6.339523315,293.878381,17.14288135,0.069965444,3.180849338,10.43942586,0.935662144,0
1.480270386,62.09125919,7.879800708,0.132055244,5.944517679,36.98739834,0.912182185,0
4.506057739,280.8291594,16.75795809,0.133243102,4.153132904,17.76802013,0.977915273,0
6.592895508,392.2113385,19.80432626,0.204875701,3.438674599,12.25443475,0.971014757,0
10.96429443,619.8329251,24.89644403,0.126598302,2.720562968,7.775729298,0.966220222,0
7.483703613,761.8197401,27.60108223,0.001379888,4.368951239,20.61496996,0.965808789,1
1.119476318,66.18685309,8.135530289,0.394538601,7.726651463,61.79062408,0.891207544,0
