AREA,PERIMETER,ECCENTRICITY,CONVEX_AREA,EXTENT,ROUNDNESS,COMPACTNESS,Class
91090,1241.655,0.8624,92981,0.7762,0.7425,0.706,Kirmizi_Pistachio
83628,1838.771,0.8839,90339,0.7383,0.3108,0.6619,Kirmizi_Pistachio
71716,1090.189,0.8505,73338,0.7484,0.7583,0.7224,Kirmizi_Pistachio
89168,1332.229,0.8892,91854,0.7519,0.6313,0.6683,Kirmizi_Pistachio
78126,1928.827,0.8542,87390,0.728,0.2639,0.6914,Kirmizi_Pistachio
53028,1262.9,0.9216,56488,0.7212,0.4178,0.6149,Kirmizi_Pistachio
84987,1136.249,0.8569,87045,0.7701,0.8272,0.7117,Kirmizi_Pistachio
80770,1256.714,0.8453,85247,0.6878,0.6427,0.7193,Kirmizi_Pistachio
84880,1458.657,0.8551,91934,0.706,0.5013,0.6916,Kirmizi_Pistachio
73254,1967.176,0.8388,80327,0.7125,0.2379,0.7109,Kirmizi_Pistachio
84010,1241.546,0.8921,85410,0.7595,0.6849,0.6667,Kirmizi_Pistachio
85018,1274.892,0.8338,88270,0.7659,0.6573,0.7363,Kirmizi_Pistachio
81487,1305.462,0.8805,88994,0.709,0.6009,0.6713,Kirmizi_Pistachio
60009,1132.484,0.8797,62815,0.7488,0.588,0.682,Kirmizi_Pistachio
75881,1112.911,0.8656,79014,0.7528,0.7699,0.6984,Kirmizi_Pistachio
63231,1107.589,0.8926,66893,0.6484,0.6477,0.6634,Kirmizi_Pistachio
73482,2621.3689,0.8523,93439,0.6051,0.1344,0.6322,Kirmizi_Pistachio
76715,1163.726,0.8574,78143,0.7481,0.7119,0.7109,Kirmizi_Pistachio
79819,1193.443,0.8571,82878,0.7369,0.7042,0.7109,Kirmizi_Pistachio
69644,1146.145,0.839,74435,0.6963,0.6662,0.7256,Kirmizi_Pistachio
60466,1602.021,0.7714,72465,0.6676,0.2961,0.7345,Kirmizi_Pistachio
35873,971.085,0.8979,37935,0.7731,0.478,0.6552,Kirmizi_Pistachio
63966,1790.7111,0.818,74929,0.6141,0.2507,0.7113,Kirmizi_Pistachio
71326,1254.259,0.8948,74246,0.6846,0.5697,0.6576,Kirmizi_Pistachio
83131,1210.476,0.8285,87361,0.7965,0.713,0.7388,Kirmizi_Pistachio
75519,1177.696,0.8615,82240,0.6927,0.6842,0.6908,Kirmizi_Pistachio
79537,1439.5129,0.8806,84281,0.7568,0.4823,0.6817,Kirmizi_Pistachio
84746,1311.157,0.8725,92914,0.7162,0.6195,0.6804,Kirmizi_Pistachio
80715,1144.972,0.8669,83013,0.7613,0.7737,0.6992,Kirmizi_Pistachio
77596,1235.537,0.8689,81221,0.7448,0.6388,0.6905,Kirmizi_Pistachio
83019,1180.433,0.8888,84468,0.75,0.7487,0.6739,Kirmizi_Pistachio
66035,2038.506,0.8793,76729,0.6566,0.1997,0.6655,Kirmizi_Pistachio
