Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,Extent,Perimeter,Class
87524,442.2460114,253.291155,0.819738392,90546,0.758650579,1184.04,Kecimen
75166,406.690687,243.0324363,0.801805234,78789,0.68412957,1121.786,Kecimen
90856,442.2670483,266.3283177,0.798353619,93717,0.637612812,1208.575,Kecimen
45928,286.5405586,208.7600423,0.684989217,47336,0.699599385,844.162,Kecimen
79408,352.1907699,290.8275329,0.56401133,81463,0.792771926,1073.251,Kecimen
49242,318.125407,200.12212,0.777351277,51368,0.658456354,881.836,Kecimen
42492,310.1460715,176.1314494,0.823098681,43904,0.665893562,823.796,Kecimen
60952,332.4554716,235.429835,0.706057518,62329,0.74359819,933.366,Kecimen
42256,323.1896072,172.5759261,0.845498789,44743,0.698030924,849.728,Kecimen
64380,366.9648423,227.7716147,0.784055626,66125,0.664375716,981.544,Kecimen
80437,449.4545811,232.3255064,0.856042518,84460,0.674235757,1176.305,Kecimen
43725,301.3222176,186.9506295,0.784258452,45021,0.697068248,818.873,Kecimen
43441,276.6108288,201.8131355,0.683882337,45133,0.690855598,803.748,Kecimen
76792,338.8575454,291.3592017,0.510583813,78842,0.772322237,1042.77,Kecimen
74167,387.7989307,247.8581228,0.769089738,76807,0.680181585,1084.729,Kecimen
33565,261.5543311,167.7084908,0.767374275,35794,0.68155052,751.413,Kecimen
64670,403.0839752,206.4846437,0.858829168,66419,0.75677257,1028.445,Kecimen
64762,354.2939396,235.7524629,0.746473726,66713,0.694998015,981.509,Kecimen
43295,304.2844667,182.8110368,0.799406959,44714,0.713838189,814.68,Kecimen
70699,418.6985723,216.5960537,0.855799392,72363,0.728075054,1061.321,Kecimen
69726,354.1769124,252.529208,0.701160962,71849,0.734398534,1035.501,Kecimen
57346,330.4784385,222.4437485,0.739555027,59365,0.723608833,928.272,Kecimen
82028,397.1149759,268.3337727,0.737169367,84427,0.686375085,1106.355,Kecimen
61251,301.5077895,273.6599414,0.419753707,64732,0.643595671,971.769,Kecimen
96277,447.1345225,275.2161542,0.788128405,97865,0.704057157,1181.921,Kecimen
75620,368.2242844,263.4592554,0.698627251,77493,0.726277372,1059.186,Kecimen
73167,340.055218,276.0151772,0.58410581,74545,0.778736856,1010.474,Kecimen
60847,336.9238696,231.4656959,0.726660229,62492,0.69858783,964.603,Kecimen
81021,347.7500583,297.6406265,0.517134931,82552,0.757559607,1063.868,Kecimen
59902,358.5919148,222.9020273,0.783331958,63250,0.744124224,982.788,Kecimen
88745,429.770355,265.6902361,0.786009488,90715,0.752063524,1162.877,Kecimen
41809,307.5327392,175.085568,0.822113695,43838,0.697444367,828.697,Kecimen
75329,364.2307798,265.8668635,0.683510499,77541,0.723079729,1075.792,Kecimen
61600,350.1827545,225.8427713,0.764243075,63397,0.746829611,972.472,Kecimen
46427,253.8420284,235.9068241,0.369212459,48275,0.684219059,844.312,Kecimen
40861,249.7402266,213.5732718,0.51832833,43096,0.743089401,784.912,Kecimen
55827,305.298843,234.6612245,0.639696077,57724,0.703287982,926.095,Kecimen
54182,366.0666742,192.013274,0.851391425,56450,0.611417674,968.729,Kecimen
77468,405.9365937,245.9897977,0.795479241,79220,0.721545397,1100.676,Kecimen
49882,287.2643272,222.1858727,0.633851884,50880,0.766377827,843.764,Kecimen
95245,397.094114,307.2739224,0.633422315,97988,0.75304396,1201.39,Kecimen
71464,364.1030896,253.7969272,0.717025543,73265,0.715484271,1036.94,Kecimen
77055,375.2501319,262.8124219,0.713783938,79255,0.732267077,1095.283,Kecimen
92384,368.4062138,320.7145792,0.492086934,93772,0.749006827,1135.662,Kecimen
77310,436.5298989,228.2803725,0.852367489,80138,0.631720869,1141.189,Kecimen
57580,330.2283748,232.0553872,0.711474579,60232,0.645103465,992.114,Kecimen
69708,375.4472798,239.1327753,0.770923534,71321,0.727177893,1022.568,Kecimen
41502,260.5126753,205.8650238,0.612809911,43114,0.824319225,790.427,Kecimen
45800,330.0086832,181.6658648,0.834842987,47802,0.732682771,870.387,Kecimen
52623,311.9967579,218.0411235,0.7152614,54175,0.675190536,902.624,Kecimen
44939,317.6167119,183.3152147,0.816632082,46400,0.656177905,845.786,Kecimen
114648,508.1289326,288.9539812,0.822570794,118314,0.681904966,1340.897,Kecimen
65727,403.1942717,210.0732642,0.853542978,67372,0.616981132,1030.155,Kecimen
