Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Convex_Area,Eccentricity,Extent,Class
73611,1019.849,384.023,244.5884,74230,0.7709,0.7169,Çerçevelik
79842,1133.404,458.0375,222.8276,80792,0.8737,0.7354,Çerçevelik
68822,1036.675,422.2851,208.052,69467,0.8702,0.7514,Çerçevelik
76775,1090.25,440.8537,223.2013,77569,0.8624,0.7419,Çerçevelik
62105,986.37,390.4307,203.1583,62792,0.854,0.6624,Çerçevelik
55811,937.114,360.5674,199.135,56778,0.8337,0.6303,Çerçevelik
97062,1181.124,441.0742,281.3946,97926,0.7701,0.7266,Çerçevelik
70361,1060.623,431.2931,208.6176,71075,0.8752,0.6644,Çerçevelik
75482,1050.829,388.6198,247.8359,76417,0.7703,0.7015,Çerçevelik
67832,1004.39,380.6642,228.262,68816,0.8003,0.7191,Çerçevelik
67135,1031.821,368.1006,238.7819,68784,0.7611,0.6867,Çerçevelik
79074,1065.425,398.656,253.8709,79681,0.771,0.7359,Çerçevelik
86164,1122.042,428.2713,256.9736,86938,0.8,0.694,Çerçevelik
67549,1004.333,392.5092,219.6762,68147,0.8287,0.7106,Çerçevelik
87490,1137.818,429.7881,260.8003,88474,0.7948,0.7558,Çerçevelik
82468,1134.996,452.2654,232.5943,83212,0.8576,0.6277,Çerçevelik
90346,1173.761,462.2198,250.0358,91444,0.8411,0.7412,Çerçevelik
73484,1076.322,423.5409,223.2066,74411,0.8499,0.7426,Çerçevelik
87906,1156.064,446.5276,251.7033,88905,0.826,0.7095,Çerçevelik
83467,1127.225,452.1363,235.4289,84142,0.8537,0.7602,Çerçevelik
82324,1108.52,440.7238,238.8192,82952,0.8405,0.7467,Çerçevelik
88264,1156.395,461.0047,244.569,89044,0.8477,0.7685,Çerçevelik
106862,1253.488,492.4942,277.477,107521,0.8262,0.7391,Çerçevelik
69275,1007.568,386.0202,229.618,70121,0.8038,0.7314,Çerçevelik
64922,987.925,382.434,216.782,65490,0.8238,0.6994,Çerçevelik
88645,1176.996,464.8264,243.8185,89630,0.8514,0.7373,Çerçevelik
102336,1241.001,490.5406,266.7169,103286,0.8393,0.7306,Çerçevelik
64604,1000.248,403.9814,204.3188,65208,0.8627,0.6531,Çerçevelik
71311,1036.339,410.6743,222.1935,72149,0.841,0.7392,Çerçevelik
87179,1136.822,445.2308,250.6702,88092,0.8264,0.7067,Çerçevelik
86869,1164.885,464.3543,238.922,87821,0.8575,0.6679,Çerçevelik
77063,1109.138,452.2426,217.8907,77806,0.8763,0.6162,Çerçevelik
74522,1090.457,439.7033,217.2758,75450,0.8694,0.7199,Çerçevelik
64543,959.774,364.3535,226.7457,65140,0.7828,0.703,Çerçevelik
95832,1229.239,501.0219,244.0251,96696,0.8734,0.7319,Çerçevelik
68607,1004.027,385.8641,227.7052,69396,0.8073,0.7031,Çerçevelik
79071,1089.765,422.3434,240.724,80002,0.8217,0.6704,Çerçevelik
70673,1055.627,423.9374,213.3525,71608,0.8641,0.6568,Çerçevelik
69517,1059.538,429.8407,206.825,70493,0.8766,0.6623,Çerçevelik
66702,1029.563,420.897,203.1187,67399,0.8758,0.7126,Çerçevelik
78870,1081.043,430.0428,234.1966,79424,0.8387,0.7121,Çerçevelik
73550,1076.141,436.6477,215.1518,74475,0.8702,0.7462,Çerçevelik
70285,1038.973,397.2996,227.0837,71505,0.8206,0.6928,Çerçevelik
68243,1011.246,404.4244,215.334,68741,0.8465,0.7461,Çerçevelik
64811,964.378,359.8989,230.1407,65426,0.7688,0.7619,Çerçevelik
102377,1230.441,477.3742,274.2373,103258,0.8185,0.7364,Çerçevelik
91385,1190.488,485.5496,242.1273,92490,0.8668,0.7227,Çerçevelik
70222,1025.283,402.12,223.0969,70779,0.832,0.699,Çerçevelik
85946,1121.265,420.8492,261.7127,87047,0.7831,0.7354,Çerçevelik
93924,1172.49,450.5382,266.2257,94692,0.8067,0.7296,Çerçevelik
75710,1043.526,395.511,244.5521,76522,0.7859,0.7412,Çerçevelik
73382,1018.708,389.0548,240.6674,73955,0.7857,0.7564,Çerçevelik
96935,1201.897,449.5173,276.2137,98071,0.7889,0.7057,Çerçevelik
72138,1048.199,412.0657,223.8684,72927,0.8395,0.6954,Çerçevelik
82132,1146.16,460.8095,228.7262,83126,0.8681,0.6391,Çerçevelik
76325,1076.066,420.2904,232.4291,77189,0.8332,0.7328,Çerçevelik
77691,1079.665,412.6364,240.9295,78673,0.8118,0.6841,Çerçevelik
82306,1059.11,390.5541,268.9078,82826,0.7252,0.7279,Çerçevelik
66789,1017.28,405.313,210.4572,67514,0.8546,0.737,Çerçevelik
80137,1124.144,454.4632,225.1284,80936,0.8687,0.6586,Çerçevelik
70041,1017.782,392.8732,230.235,70789,0.8103,0.7297,Çerçevelik
85039,1130.265,433.7324,250.862,85907,0.8158,0.6958,Çerçevelik
98441,1249.004,489.5147,257.6878,99561,0.8502,0.6871,Çerçevelik
91282,1171.051,427.7433,273.1993,93122,0.7695,0.7115,Çerçevelik
73346,1076.34,418.7888,224.6259,74449,0.844,0.6416,Çerçevelik
89332,1199.709,471.9775,241.5176,90457,0.8592,0.7539,Çerçevelik
75040,1139.505,449.795,215.9398,76482,0.8772,0.5964,Çerçevelik
78532,1123.849,432.7165,232.2045,79455,0.8438,0.6983,Çerçevelik
96211,1169.304,418.7244,293.4921,97138,0.7132,0.7516,Çerçevelik
79102,1120.31,430.87,234.4646,79999,0.839,0.6653,Çerçevelik
80920,1171.651,397.4495,262.3499,82943,0.7512,0.7258,Çerçevelik
65386,1017.984,389.2751,217.0287,66640,0.8302,0.7471,Çerçevelik
92816,1229.789,472.8681,252.0375,93938,0.8461,0.7131,Çerçevelik
88903,1208.555,476.114,239.0078,89984,0.8649,0.6839,Çerçevelik
74959,1059.482,399.9927,239.647,75668,0.8007,0.7352,Çerçevelik
60145,938.701,357.5699,214.6178,60824,0.7998,0.6804,Çerçevelik
94019,1215.135,470.8153,255.6161,95889,0.8398,0.7501,Çerçevelik
71623,1086.452,431.6635,214.3176,72709,0.868,0.7259,Çerçevelik
68575,1013.014,376.118,233.5821,69321,0.7838,0.6983,Çerçevelik
88037,1143.45,428.9861,262.1492,88881,0.7916,0.7283,Çerçevelik
76709,1086.642,426.9315,229.9314,77379,0.8426,0.7341,Çerçevelik
75307,1079.812,421.5085,228.3167,76138,0.8406,0.6739,Çerçevelik
81357,1092.364,411.2506,252.762,82145,0.7888,0.7379,Çerçevelik
62211,968.901,369.045,215.6276,63090,0.8115,0.718,Çerçevelik
68265,1034.969,401.9448,217.6478,69242,0.8407,0.7319,Çerçevelik
80150,1130.443,447.8462,228.7348,80928,0.8597,0.6395,Çerçevelik
82031,1108.321,429.8897,243.2943,82716,0.8244,0.7016,Çerçevelik
59259,931.363,357.889,212.0508,59858,0.8056,0.725,Çerçevelik
83446,1194.038,481.648,221.4931,84624,0.888,0.6899,Çerçevelik
80722,1103.905,426.8265,241.4469,81479,0.8246,0.6708,Çerçevelik
64073,1033.25,405.1633,207.1816,67150,0.8594,0.6974,Çerçevelik
66968,1022.469,398.6842,214.6545,67989,0.8427,0.6592,Çerçevelik
66523,1022.985,405.2955,210.1596,67228,0.8551,0.7516,Çerçevelik
101124,1255.646,481.9419,271.2444,103164,0.8266,0.6526,Çerçevelik
79149,1115.466,436.0194,232.3894,80168,0.8461,0.6435,Çerçevelik
71517,1051.752,401.4022,227.7478,72424,0.8235,0.7208,Çerçevelik
68860,1027.834,382.1779,232.072,69990,0.7945,0.7225,Çerçevelik
87776,1181.676,475.475,235.7883,88795,0.8684,0.751,Çerçevelik
92175,1207.754,485.4328,242.9822,93233,0.8657,0.7177,Çerçevelik
73018,1056.45,399.4726,233.5491,74076,0.8113,0.6672,Çerçevelik
69718,1066.685,418.073,214.1268,70945,0.8589,0.7221,Çerçevelik
56561,902.59,342.3154,210.7994,57075,0.7879,0.7351,Çerçevelik
80375,1112.359,433.3406,238.4624,81364,0.835,0.6576,Çerçevelik
67258,1033.485,412.7968,208.3175,68108,0.8633,0.644,Çerçevelik
74104,1067.604,401.8534,237.2761,75071,0.8071,0.7378,Çerçevelik
81694,1118.852,442.772,235.8376,82443,0.8463,0.6411,Çerçevelik
62584,1017.196,345.0958,233.8076,64781,0.7355,0.7357,Çerçevelik
70175,1029.917,390.8671,229.4874,70940,0.8095,0.7329,Çerçevelik
95608,1217.112,475.3285,257.7036,96740,0.8403,0.696,Çerçevelik
99115,1245.19,473.7952,268.4639,100258,0.824,0.7203,Çerçevelik
72614,1077.587,412.8169,226.1164,73913,0.8366,0.6982,Çerçevelik
61779,972.715,388.38,202.9128,62368,0.8527,0.7201,Ürgüp Sivrisi
66784,1045.219,433.0448,197.2946,67349,0.8902,0.6877,Ürgüp Sivrisi
72004,1082.73,442.5842,207.8547,72691,0.8829,0.5889,Ürgüp Sivrisi
94624,1281.474,544.9312,221.8921,95346,0.9133,0.7635,Ürgüp Sivrisi
94732,1264.286,528.8004,228.8145,95643,0.9015,0.6916,Ürgüp Sivrisi
62892,988.634,399.4981,202.7165,63450,0.8617,0.7024,Ürgüp Sivrisi
85855,1160.91,472.952,232.0089,86515,0.8714,0.7438,Ürgüp Sivrisi
83336,1267.727,554.8182,192.6706,84389,0.9378,0.7642,Ürgüp Sivrisi
94469,1265.122,527.5993,229.1065,95567,0.9008,0.7139,Ürgüp Sivrisi
90610,1206.725,478.2473,242.492,91747,0.8619,0.7396,Ürgüp Sivrisi
70200,1098.409,467.6645,191.4609,70983,0.9124,0.7676,Ürgüp Sivrisi
97605,1295.975,535.2567,233.1001,98507,0.9002,0.5693,Ürgüp Sivrisi
88928,1200.894,486.5606,233.6096,90097,0.8772,0.5938,Ürgüp Sivrisi
79451,1161.013,487.2935,208.018,80347,0.9043,0.7628,Ürgüp Sivrisi
82347,1196.735,503.653,209.0714,83084,0.9098,0.7189,Ürgüp Sivrisi
88135,1208.556,492.3325,230.7307,89051,0.8834,0.6898,Ürgüp Sivrisi
71351,1167.657,506.3981,180.2103,72337,0.9345,0.67,Ürgüp Sivrisi
91417,1290.194,558.6151,209.1888,92193,0.9272,0.5447,Ürgüp Sivrisi
63612,1045.87,440.0601,185.2383,64489,0.9071,0.5636,Ürgüp Sivrisi
54545,1007.793,441.5838,160.6267,55450,0.9315,0.7481,Ürgüp Sivrisi
82214,1230.805,536.9736,195.4454,83103,0.9314,0.5005,Ürgüp Sivrisi
66001,1069.079,453.8482,186.9632,66827,0.9112,0.5421,Ürgüp Sivrisi
109006,1367.423,570.3362,244.0344,110017,0.9038,0.5811,Ürgüp Sivrisi
72636,1095.028,457.1058,203.1248,73264,0.8958,0.6365,Ürgüp Sivrisi
94411,1257.53,525.3441,229.5001,95183,0.8995,0.5981,Ürgüp Sivrisi
81686,1129.295,461.6435,226.067,82380,0.8719,0.7116,Ürgüp Sivrisi
57159,937.849,374.3317,195.089,57693,0.8535,0.662,Ürgüp Sivrisi
93261,1229.362,509.301,234.175,93958,0.888,0.7502,Ürgüp Sivrisi
88640,1279.833,553.9015,205.2628,89536,0.9288,0.5119,Ürgüp Sivrisi
88643,1185.732,482.9578,234.8103,89304,0.8739,0.6905,Ürgüp Sivrisi
62772,1003.935,411.4486,194.8376,63391,0.8808,0.7002,Ürgüp Sivrisi
95077,1267.395,533.6517,227.673,96067,0.9044,0.7488,Ürgüp Sivrisi
79170,1186.701,508.749,199.017,79799,0.9203,0.5218,Ürgüp Sivrisi
94293,1213.491,496.2845,243.012,95045,0.8719,0.7559,Ürgüp Sivrisi
98845,1274.021,534.7285,235.9331,99742,0.8974,0.7383,Ürgüp Sivrisi
80705,1208.614,515.5391,200.4272,81824,0.9213,0.5118,Ürgüp Sivrisi
97097,1262.071,521.6305,238.0981,98195,0.8897,0.5708,Ürgüp Sivrisi
60291,1020.062,402.442,193.899,61478,0.8763,0.7556,Ürgüp Sivrisi
104308,1379.447,589.7301,227.0772,105614,0.9229,0.6574,Ürgüp Sivrisi
82498,1173.069,493.5614,213.3225,83202,0.9018,0.5627,Ürgüp Sivrisi
112871,1389.988,582.0058,248.0799,113895,0.9046,0.5525,Ürgüp Sivrisi
75362,1135.785,481.2083,200.899,75981,0.9087,0.5907,Ürgüp Sivrisi
88794,1211.7,510.1316,222.0941,89599,0.9003,0.563,Ürgüp Sivrisi
101629,1271.363,525.8595,246.5552,102350,0.8833,0.6435,Ürgüp Sivrisi
113101,1298.91,512.6119,282.0278,114115,0.835,0.6856,Ürgüp Sivrisi
95687,1250.073,516.4488,236.8992,96408,0.8886,0.6546,Ürgüp Sivrisi
72889,1134.729,480.5314,194.6673,73595,0.9143,0.5299,Ürgüp Sivrisi
66584,1063.989,443.5447,192.3178,67224,0.9011,0.7321,Ürgüp Sivrisi
106538,1318.775,538.0987,254.0946,107575,0.8815,0.6282,Ürgüp Sivrisi
64783,1069.99,394.0979,214.5254,66488,0.8389,0.7678,Ürgüp Sivrisi
97062,1261.369,523.0721,237.0333,97949,0.8914,0.5762,Ürgüp Sivrisi
84152,1189.509,503.6442,213.409,84747,0.9058,0.6913,Ürgüp Sivrisi
77208,1162.261,495.6296,199.314,78049,0.9156,0.7653,Ürgüp Sivrisi
84506,1251.272,537.2269,201.5448,85349,0.927,0.7427,Ürgüp Sivrisi
76991,1110.857,456.6792,215.1997,77735,0.882,0.7472,Ürgüp Sivrisi
123618,1376.109,533.3902,296.2779,124732,0.8315,0.6679,Ürgüp Sivrisi
